   Wavelength    N2 abs        N2+     N+ (from N2)  N2 ion      O2 abs        O2+     O+ (from O2)  O2 ion       N ion
     196.63       5.951       3.721       2.230       5.951       8.621       4.923       3.697       8.621       2.996
     196.65       5.952       3.721       2.231       5.952       8.622       4.924       3.698       8.622       2.997
     197.41       6.008       3.755       2.253       6.008       8.676       4.962       3.714       8.676       3.022
     197.44       6.011       3.756       2.254       6.011       8.678       4.963       3.715       8.678       3.023
     198.53       6.091       3.805       2.286       6.091       8.756       5.017       3.739       8.756       3.059
     198.58       6.095       3.807       2.288       6.095       8.759       5.020       3.740       8.759       3.061
     200.00       6.200       3.870       2.330       6.200       8.860       5.090       3.770       8.860       3.108
     200.02       6.202       3.871       2.331       6.202       8.861       5.091       3.770       8.861       3.108
     201.10       6.284       3.921       2.363       6.284       8.938       5.150       3.788       8.938       3.144
     201.13       6.286       3.922       2.364       6.286       8.940       5.152       3.788       8.940       3.145
     202.05       6.356       3.964       2.391       6.356       9.006       5.203       3.803       9.006       3.175
     202.64       6.401       3.992       2.409       6.401       9.047       5.236       3.812       9.047       3.195
     203.78       6.487       4.044       2.443       6.487       9.128       5.299       3.829       9.128       3.233
     203.81       6.490       4.045       2.444       6.490       9.131       5.301       3.830       9.131       3.234
     204.25       6.523       4.066       2.457       6.523       9.162       5.325       3.837       9.162       3.248
     204.89       6.572       4.095       2.477       6.572       9.207       5.361       3.846       9.207       3.269
     204.94       6.575       4.097       2.478       6.575       9.211       5.364       3.847       9.211       3.271
     205.00       6.580       4.100       2.480       6.580       9.215       5.367       3.848       9.215       3.273
     206.26       6.683       4.163       2.520       6.683       9.304       5.438       3.867       9.304       3.315
     206.38       6.693       4.169       2.524       6.693       9.313       5.445       3.868       9.313       3.319
     206.60       6.711       4.180       2.531       6.711       9.329       5.457       3.872       9.329       3.326
     207.46       6.782       4.223       2.559       6.782       9.390       5.506       3.884       9.390       3.353
     208.33       6.853       4.267       2.586       6.853       9.451       5.555       3.897       9.451       3.380
     209.63       6.960       4.332       2.628       6.960       9.544       5.629       3.915       9.544       3.421
     209.78       6.972       4.339       2.633       6.972       9.554       5.637       3.917       9.554       3.425
     209.93       6.984       4.347       2.638       6.984       9.565       5.646       3.919       9.565       3.430
     210.00       6.990       4.350       2.640       6.990       9.570       5.650       3.920       9.570       3.432
     211.32       7.098       4.411       2.687       7.098       9.666       5.714       3.952       9.666       3.474
     212.14       7.165       4.449       2.717       7.165       9.726       5.754       3.972       9.726       3.499
     212.15       7.166       4.449       2.717       7.166       9.727       5.755       3.972       9.727       3.499
     213.78       7.300       4.524       2.776       7.300       9.846       5.834       4.012       9.846       3.550
     213.80       7.302       4.525       2.777       7.302       9.847       5.835       4.012       9.847       3.551
     214.75       7.379       4.569       2.811       7.379       9.917       5.882       4.035       9.917       3.582
     215.00       7.400       4.580       2.820       7.400       9.935       5.894       4.041       9.935       3.590
     215.16       7.414       4.588       2.826       7.414       9.947       5.902       4.045       9.947       3.595
     216.88       7.569       4.678       2.891       7.569      10.072       5.986       4.086      10.072       3.651
     216.90       7.571       4.679       2.892       7.571      10.074       5.987       4.086      10.074       3.652
     217.00       7.580       4.684       2.896       7.580      10.081       5.992       4.089      10.081       3.655
     218.19       7.687       4.746       2.941       7.687      10.168       6.051       4.117      10.168       3.694
     218.21       7.689       4.747       2.942       7.689      10.169       6.052       4.118      10.169       3.694
     219.09       7.768       4.793       2.975       7.768      10.234       6.095       4.139      10.234       3.723
     219.13       7.772       4.795       2.977       7.772      10.236       6.097       4.139      10.236       3.724
