   Wavelength    N2 abs        N2+     N+ (from N2)  N2 ion      O2 abs        O2+     O+ (from O2)  O2 ion       N ion
     148.38       3.135       2.095       1.041       3.135       5.211       2.487       2.724       5.211       1.392
     148.40       3.136       2.095       1.041       3.136       5.213       2.488       2.725       5.213       1.392
     150.00       3.210       2.140       1.070       3.210       5.320       2.560       2.760       5.320       1.428
     150.10       3.215       2.143       1.072       3.215       5.327       2.564       2.763       5.327       1.430
     152.15       3.317       2.201       1.117       3.317       5.473       2.656       2.817       5.473       1.476
     152.84       3.352       2.220       1.132       3.352       5.522       2.687       2.835       5.522       1.491
     154.18       3.419       2.257       1.162       3.419       5.617       2.747       2.870       5.617       1.521
     154.20       3.420       2.258       1.162       3.420       5.618       2.748       2.870       5.618       1.521
     155.00       3.460       2.280       1.180       3.460       5.675       2.784       2.891       5.675       1.539
     157.73       3.596       2.352       1.245       3.596       5.869       2.909       2.959       5.869       1.651
     158.37       3.628       2.368       1.260       3.628       5.914       2.939       2.975       5.914       1.678
     158.38       3.629       2.368       1.261       3.629       5.915       2.939       2.976       5.915       1.678
     159.94       3.707       2.408       1.299       3.707       6.026       3.012       3.014       6.026       1.742
     159.98       3.709       2.409       1.300       3.709       6.029       3.014       3.015       6.029       1.744
     160.00       3.710       2.410       1.300       3.710       6.030       3.015       3.015       6.030       1.745
     160.37       3.729       2.422       1.307       3.729       6.055       3.033       3.022       6.055       1.760
     164.13       3.925       2.542       1.383       3.925       6.307       3.214       3.093       6.307       1.915
     164.15       3.926       2.543       1.383       3.926       6.308       3.214       3.094       6.308       1.916
     165.00       3.970       2.570       1.400       3.970       6.365       3.256       3.109       6.365       1.951
     165.30       3.986       2.580       1.406       3.986       6.385       3.271       3.114       6.385       1.963
     167.50       4.105       2.655       1.450       4.105       6.532       3.379       3.153       6.532       2.033
     168.17       4.141       2.678       1.463       4.141       6.577       3.413       3.165       6.577       2.054
     168.55       4.162       2.691       1.471       4.162       6.603       3.432       3.171       6.603       2.066
     168.92       4.182       2.703       1.478       4.182       6.628       3.450       3.177       6.628       2.077
     169.70       4.224       2.730       1.494       4.224       6.680       3.490       3.190       6.680       2.102
     170.00       4.240       2.740       1.500       4.240       6.700       3.505       3.195       6.700       2.112
     171.06       4.297       2.776       1.521       4.297       6.767       3.563       3.204       6.767       2.145
     171.08       4.298       2.777       1.522       4.298       6.768       3.564       3.204       6.768       2.146
     172.12       4.354       2.812       1.542       4.354       6.834       3.621       3.212       6.834       2.179
     172.17       4.357       2.814       1.543       4.357       6.837       3.624       3.213       6.837       2.180
